strategy,model_layer,subperiod,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
v0_4_no_breadth_ungated,PS_only,first_half,2016-07-25,2020-12-31,1120,0.8958423325757194,0.1547966057530734,0.1139592785578412,1.2218679814120657,1.7593393671733535,-0.10692284271924779,-0.010924013440390637,-0.01849753319028317,-0.04311995268959893,-0.05949129480970572,-0.10373965485722403,-0.10105517552270782,0.46035714285714285,0.5396428571428571,1.7403750000000004,0.0038675000000000003,2020-02-19,2020-03-16,2020-04-14,38,True
v0_4_no_breadth_ungated,PS_only,second_half,2021-01-04,2026-07-24,1395,0.451107421435222,0.06939225097577317,0.11166324984531388,0.3571330089660617,0.5067536297154949,-0.2705008746013168,-0.010252682855345833,-0.017043217348155896,-0.040285270072430365,-0.08921738776367605,-0.13030057050374122,-0.23644738191096815,0.4141935483870968,0.5858064516129031,2.272226196349285,0.006305000000000001,2021-12-27,2022-11-03,2024-06-12,618,True
v0_4_no_liquidity_ungated,PS_only,full,2016-07-25,2026-07-24,2515,1.7912787953227807,0.10815022072929459,0.11376110420373484,0.7577623012272563,1.0815935526678992,-0.24285826326427185,-0.010143451423772938,-0.01807410092799301,-0.04311995268959893,-0.08831526644692744,-0.12084957352886139,-0.20477775974806567,0.4299333996023856,0.5700666003976145,1.2785250616269517,0.006390000000000001,2021-12-27,2022-06-16,2023-12-26,502,True
v0_4_no_liquidity_ungated,PS_only,first_half,2016-07-25,2020-12-31,1120,0.8644456550486723,0.150465736819418,0.11560094348457026,1.1736350032107286,1.6827799763526723,-0.12476504851184644,-0.010956020389870027,-0.019052286260926365,-0.04311995268959893,-0.058752237330022994,-0.10328654788658442,-0.12127891532656088,0.46153348214285717,0.5384665178571428,1.5930000000000004,0.0035400000000000006,2018-10-01,2018-12-24,2019-03-18,114,True
v0_4_no_liquidity_ungated,PS_only,second_half,2021-01-04,2026-07-24,1395,0.5045446730280072,0.07638354244185552,0.11226766596806016,0.41402297010225664,0.5885927814395459,-0.24285826326427185,-0.00990957927387073,-0.017244344479748,-0.040285270072430365,-0.08831526644692744,-0.12084957352886139,-0.20477775974806567,0.4045627240143369,0.5954372759856631,1.0270966946225952,0.00285,2021-12-27,2022-06-16,2023-12-26,502,True
v0_4_no_tail_ungated,PS_only,full,2016-07-25,2026-07-24,2515,1.9082110951722235,0.11270910198479744,0.10705359740654406,0.8366600299180901,1.2161040833981973,-0.17789833471302607,-0.010007593800021886,-0.016509098076456858,-0.04311995268959893,-0.05904577147061074,-0.10328654788658442,-0.1297930991244619,0.4200914512922465,0.5799085487077535,1.2044946589975352,0.006020000000000001,2021-12-27,2022-06-16,2023-07-05,381,True
v0_4_no_tail_ungated,PS_only,first_half,2016-07-25,2020-12-31,1120,0.8471654769208208,0.14805793784664423,0.11539861959751752,1.1573333142484659,1.6564667858291602,-0.12476504851184655,-0.010956020389870027,-0.019052286260926365,-0.04311995268959893,-0.058752237330022994,-0.10328654788658442,-0.12127891532656088,0.46021874999999995,0.5397812500000001,1.5930000000000004,0.0035400000000000006,2018-10-01,2018-12-24,2019-03-18,114,True
v0_4_no_tail_ungated,PS_only,second_half,2021-01-04,2026-07-24,1395,0.5822376842520915,0.08619362789693352,0.09986306206626647,0.543302253169791,0.8032139539415846,-0.17789833471302607,-0.009586218662783943,-0.014410670629022395,-0.02738925856929956,-0.05904577147061074,-0.0829441763501263,-0.1297930991244619,0.3878745519713262,0.6121254480286737,0.8937543167242232,0.0024800000000000004,2021-12-27,2022-06-16,2023-07-05,381,True
v0_3_full_base_scores,full_proxy,full,2016-07-25,2026-07-24,2514,1.6992739357984243,0.1044407284611435,0.10961812267682236,0.7518621910781993,1.0817611123086701,-0.2428607066203664,-0.010190309295940964,-0.01700926042983128,-0.040285270072430324,-0.08921738776367627,-0.12310721757954779,-0.20668789365284912,0.43574569368067934,0.5642543063193206,1.9337941659819233,0.009665000000000002,2021-12-27,2022-12-28,2024-04-11,575,True
v0_3_full_base_scores,full_proxy,first_half,2016-07-25,2020-12-31,1119,0.8705425938677498,0.1514561284820044,0.10809406932989818,1.2553642012779573,1.827469109176458,-0.10258380000465583,-0.01002221514712579,-0.01730829380904007,-0.03963906914773607,-0.05362717040820464,-0.07828262605288772,-0.10062717233405005,0.46249970859090966,0.5375002914090903,1.9401072386058984,0.0043075000000000006,2018-10-01,2018-12-24,2019-02-13,92,True
