date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason
2018-09-18,v0_4_full_enriched_scores,QQQ,13,covered_call,OPEN,call,-1,191.0,2018-10-19,2,182.84,1.0254523256936992,0.9998160175513566,1.0510886338360417,0.9998160175513566,0.17099390873343034,0.2049853368598812,199.9632035102713,-6.4272616284685045,6.4272616284685045,GREED_EXHAUSTION_COVERED_CALL
2018-09-19,v0_4_full_enriched_scores,QQQ,13,covered_call,CLOSE,call,-1,191.0,2018-10-19,2,182.7,0.8928388733599135,0.8705179015259157,0.9151598451939114,0.9151598451939114,0.1666967159277504,0.18997155613459393,-183.03196903878228,-5.764194366799567,5.764194366799567,CALL_STATE_EXIT
2018-09-19,v0_4_full_enriched_scores,QQQ,14,cash_secured_put,OPEN,put,-1,174.0,2018-10-19,7,182.7,0.8217551692038718,0.801211289973775,0.8422990484339686,0.801211289973775,0.18107142857142855,-0.16061204679935048,560.8479029816425,-18.930715461067773,18.930715461067773,CONDITIONAL_ENTRY_CSP
2018-09-27,v0_4_full_enriched_scores,QQQ,15,covered_call,OPEN,call,-1,196.0,2018-11-16,2,185.83,1.3090749247966542,1.2763480516767378,1.3418017979165706,1.2763480516767378,0.16524283481537994,0.20957482301283475,255.26961033534755,-7.84537462398328,7.84537462398328,GREED_EXHAUSTION_COVERED_CALL
2018-09-28,v0_4_full_enriched_scores,QQQ,15,covered_call,CLOSE,call,-1,196.0,2018-11-16,2,185.79,1.245370852911016,1.2142365815882405,1.2765051242337913,1.2765051242337913,0.16419766695905888,0.20412562385886135,-255.30102484675825,-7.5268542645550705,7.5268542645550705,CALL_STATE_EXIT
2018-10-01,v0_4_full_enriched_scores,QQQ,14,cash_secured_put,CLOSE,put,-1,174.0,2018-10-19,7,186.17,0.15846111635654303,0.14846111635654302,0.16846111635654304,0.16846111635654304,0.187657691894505,-0.04837340903939694,-117.92278144958013,-11.550000000000006,11.550000000000006,CSP_PROFIT_TARGET
2018-10-04,v0_4_full_enriched_scores,QQQ,16,covered_call,OPEN,call,-1,191.0,2018-11-16,2,182.38,1.779600696501312,1.7351106790887791,1.824090713913845,1.7351106790887791,0.18936495303576115,0.2574139478034959,347.02213581775584,-10.198003482506579,10.198003482506579,GREED_EXHAUSTION_COVERED_CALL
2018-10-05,v0_4_full_enriched_scores,QQQ,16,covered_call,CLOSE,call,-1,191.0,2018-11-16,2,180.15,1.4026762639276313,1.3676093573294406,1.4377431705258221,1.4377431705258221,0.19933934185282465,0.2100260610361047,-287.5486341051644,-8.313381319638157,8.313381319638157,CALL_STATE_EXIT
2018-10-08,v0_4_full_enriched_scores,QQQ,17,insurance,OPEN,put,1,165.0,2019-01-18,7,179.05,2.3580818327619966,2.2991297869429466,2.4170338785810466,2.4170338785810466,0.20882312360070546,-0.2019105197921861,-1691.9237150067327,-45.816432073335,45.816432073335,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2018-10-11,v0_4_full_enriched_scores,QQQ,17,insurance,CLOSE,put,1,165.0,2019-01-18,2,169.6,5.190014357674265,5.060263998732409,5.319764716616121,5.060263998732409,0.21760057859326787,-0.3680058059515779,1012.0527997464817,-27.250071788371255,27.250071788371255,INSURANCE_PARTIAL_MONETIZATION
2018-10-18,v0_4_full_enriched_scores,QQQ,17,insurance,CLOSE,put,1,165.0,2019-01-18,1,173.18,3.8159257081804583,3.7205275654759467,3.91132385088497,3.7205275654759467,0.2195212445010503,-0.297620119459319,372.05275654759464,-10.189814270451164,10.189814270451164,INSURANCE_PARTIAL_MONETIZATION
2019-01-08,v0_4_full_enriched_scores,QQQ,17,insurance,CLOSE,put,1,165.0,2019-01-18,4,159.52,7.173006291616673,6.993681134326256,7.35233144890709,6.993681134326256,0.3628486642189505,-0.7001070690864089,2797.4724537305024,-74.33006291616665,74.33006291616665,INSURANCE_DTE_ROLL
2019-03-11,v0_4_full_enriched_scores,QQQ,18,insurance,OPEN,put,1,161.0,2019-06-21,7,174.73,2.3769332029659296,2.3175098728917813,2.436356533040078,2.436356533040078,0.21256469568313857,-0.2040401737118239,-1705.4495731280545,-46.146331051903765,46.146331051903765,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2019-05-16,v0_4_full_enriched_scores,QQQ,18,insurance,CLOSE,put,1,161.0,2019-06-21,3,184.93,0.09260400272206137,0.08260400272206138,0.10260400272206137,0.08260400272206138,0.2196945893951036,-0.01938597124638879,24.781200816618412,-4.949999999999999,4.949999999999999,INSURANCE_PARTIAL_MONETIZATION
2019-06-11,v0_4_full_enriched_scores,QQQ,18,insurance,CLOSE,put,1,161.0,2019-06-21,4,183.4,0.000865879906064862,0.0,0.010865879906064862,0.0,0.2392442748091603,-0.0004504927797825685,0.0,-2.946351962425945,2.946351962425945,INSURANCE_DTE_ROLL
2019-08-02,v0_4_full_enriched_scores,QQQ,19,insurance,OPEN,put,1,173.0,2019-10-18,8,187.35,2.244094988101338,2.1879926133988046,2.3001973628038717,2.3001973628038717,0.22519924799187233,-0.19785263918418414,-1840.1578902430974,-50.081899762026836,50.081899762026836,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2019-08-12,v0_4_full_enriched_scores,QQQ,19,insurance,CLOSE,put,1,173.0,2019-10-18,4,184.35,2.981138574707849,2.9066101103401527,3.055667039075545,2.9066101103401527,0.24347471497023376,-0.24716085009243563,1162.644044136061,-32.41138574707849,32.41138574707849,INSURANCE_PARTIAL_MONETIZATION
2019-10-08,v0_4_full_enriched_scores,QQQ,19,insurance,CLOSE,put,1,173.0,2019-10-18,4,185.42,0.16418419208473978,0.15418419208473977,0.1741841920847398,0.15418419208473977,0.25751105598101603,-0.049071104273087425,61.67367683389591,-6.600000000000003,6.600000000000003,INSURANCE_DTE_ROLL
2019-10-16,v0_4_full_enriched_scores,QQQ,20,insurance,OPEN,put,1,177.0,2020-01-17,7,193.04,2.5653546101076756,2.501220744854984,2.6294884753603673,2.6294884753603673,0.22416722073196269,-0.19926265783639496,-1840.6419327522572,-49.44370567688419,49.44370567688419,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2020-01-07,v0_4_full_enriched_scores,QQQ,20,insurance,CLOSE,put,1,177.0,2020-01-17,7,215.53,2.6109144244267975e-08,0.0,0.010000026109144244,0.0,0.2174882266969795,-1.9498739079930725e-08,0.0,-4.550018276400971,4.550018276400971,INSURANCE_DTE_ROLL
2020-01-07,v0_4_full_enriched_scores,QQQ,21,covered_call,OPEN,call,-1,225.0,2020-02-21,2,215.53,1.9286765030680826,1.8804595904913806,1.9768934156447846,1.8804595904913806,0.17265977407046026,0.25370134658799587,376.0919180982761,-10.943382515340405,10.943382515340405,GREED_EXHAUSTION_COVERED_CALL
2020-01-10,v0_4_full_enriched_scores,QQQ,21,covered_call,CLOSE,call,-1,225.0,2020-02-21,2,218.43,2.483295654769009,2.4212132633997836,2.545378046138234,2.545378046138234,0.16807140518342298,0.3171938476158763,-509.0756092276468,-13.716478273845045,13.716478273845045,CALL_STATE_EXIT
2020-01-27,v0_4_full_enriched_scores,QQQ,22,insurance,OPEN,put,1,202.0,2020-04-17,7,218.1,2.6508850022170023,2.584612877161577,2.7171571272724275,2.7171571272724275,0.21464260014077557,-0.20383268671637694,-1902.0099890906993,-50.94048753879766,50.94048753879766,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2020-02-27,v0_4_full_enriched_scores,QQQ,22,insurance,CLOSE,put,1,202.0,2020-04-17,2,205.64,8.589510279084948,8.374772522107824,8.804248036062072,8.374772522107824,0.3463517666044231,-0.4157926234172418,1674.9545044215647,-44.24755139542481,44.24755139542481,INSURANCE_PARTIAL_MONETIZATION
2020-03-16,v0_4_full_enriched_scores,QQQ,22,insurance,CLOSE,put,1,202.0,2020-04-17,1,169.3,38.12936061859345,37.176126603128615,39.08259463405829,37.176126603128615,0.7767249683164884,-0.743164561302351,3717.6126603128614,-95.97340154648367,95.97340154648367,INSURANCE_PARTIAL_MONETIZATION
2020-04-07,v0_4_full_enriched_scores,QQQ,22,insurance,CLOSE,put,1,202.0,2020-04-17,4,196.4,14.089987109504065,13.737737431766464,14.442236787241667,13.737737431766464,0.8404344850634161,-0.553124653234948,5495.094972706585,-143.49987109504065,143.49987109504065,INSURANCE_DTE_ROLL
2020-08-20,v0_4_full_enriched_scores,QQQ,23,covered_call,OPEN,call,-1,296.0,2020-09-18,2,279.93,3.1657420602470268,3.086598508740851,3.2448856117532023,3.086598508740851,0.27950201693280463,0.25007647831251195,617.3197017481702,-17.128710301235117,17.128710301235117,GREED_EXHAUSTION_COVERED_CALL
2020-08-21,v0_4_full_enriched_scores,QQQ,23,covered_call,CLOSE,call,-1,296.0,2020-09-18,2,281.87,3.61289999947131,3.522577499484527,3.7032224994580925,3.7032224994580925,0.28189588178947744,0.2767897273287299,-740.6444998916185,-19.364499997356532,19.364499997356532,CALL_STATE_EXIT
2020-08-25,v0_4_full_enriched_scores,QQQ,24,insurance,OPEN,put,1,253.0,2020-11-20,4,285.86,5.519286329627448,5.381304171386762,5.6572684878681345,5.6572684878681345,0.3265330998097004,-0.20047062730229623,-2262.9073951472537,-57.792863296274554,57.792863296274554,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2020-09-11,v0_4_full_enriched_scores,QQQ,24,insurance,CLOSE,put,1,253.0,2020-11-20,2,270.45,8.7414737235311,8.522936880442824,8.960010566619378,8.522936880442824,0.34800496434160266,-0.3054514291976015,1704.5873760885647,-45.00736861765536,45.00736861765536,INSURANCE_PARTIAL_MONETIZATION
2020-11-10,v0_4_full_enriched_scores,QQQ,24,insurance,CLOSE,put,1,253.0,2020-11-20,2,283.42,0.23043257481759838,0.22043257481759837,0.2404325748175984,0.22043257481759837,0.37767258838472945,-0.032478181190390296,44.086514963519676,-3.3000000000000016,3.3000000000000016,INSURANCE_DTE_ROLL
2020-12-07,v0_4_full_enriched_scores,QQQ,25,cash_secured_put,OPEN,put,-1,283.0,2021-01-15,6,307.25,3.7333259979731253,3.6399928480237973,3.826659147922453,3.6399928480237973,0.3167149032817477,-0.199963645903124,2183.9957088142783,-59.89988996959677,59.89988996959677,CONDITIONAL_ENTRY_CSP
2020-12-16,v0_4_full_enriched_scores,QQQ,26,covered_call,OPEN,call,-1,331.0,2021-01-15,2,308.98,2.573889824951891,2.5095425793280937,2.6382370705756886,2.5095425793280937,0.27254566314971845,0.1984961087601587,501.9085158656187,-14.169449124759492,14.169449124759492,GREED_EXHAUSTION_COVERED_CALL
2020-12-17,v0_4_full_enriched_scores,QQQ,26,covered_call,CLOSE,call,-1,331.0,2021-01-15,2,311.0,2.6908810193376596,2.623608993854218,2.758153044821101,2.758153044821101,0.26518327974276523,0.21146034543840686,-551.6306089642202,-14.754405096688316,14.754405096688316,CALL_STATE_EXIT
2020-12-28,v0_4_full_enriched_scores,QQQ,25,cash_secured_put,CLOSE,put,-1,283.0,2021-01-15,6,312.68,0.5549272529329485,0.5410540716096248,0.5688004342562722,0.5688004342562722,0.29599117308430345,-0.0609539932316994,-341.28026055376336,-12.223908793994228,12.223908793994228,CSP_PROFIT_TARGET
2020-12-31,v0_4_full_enriched_scores,QQQ,27,covered_call,OPEN,call,-1,344.0,2021-02-19,2,313.74,3.48790446402473,3.4007068524241117,3.5751020756253484,3.4007068524241117,0.28123044938915365,0.20064012653889654,680.1413704848223,-18.73952232012367,18.73952232012367,GREED_EXHAUSTION_COVERED_CALL
