date,QQQ_Haven_35_20_45,TQQQ_Haven_35_20_45,QQQ_Haven_50_15_35,TQQQ_Haven_50_15_35,QQQ_Haven_60_10_30,TQQQ_Haven_60_10_30,QQQ_Static35,TQQQ_Static35,QQQ_BuyHold,TQQQ_BuyHold,BIL_like_Cash
2018-05-03,112.95290009002161,134.95757770007907,119.70058270940875,157.88140817507463,124.27650980058198,174.1912816404775,115.31688906589648,145.4313911118407,144.6793991463177,256.4794039202406,101.4287108613611
2018-05-04,114.66896699870041,141.0346445882333,121.63232083177931,165.43438731187211,126.39957558762048,183.01401527309517,116.08777011703206,148.3019809057978,147.42455214618911,270.91147707548384,101.4355733991396
2018-05-07,115.43279918093042,143.7183094330093,122.4926614454193,168.77838793348,127.34572512420625,186.9302411071829,116.43049954770667,149.54222841462789,148.6495878497148,277.35066254603976,101.44243640122869
2018-05-08,115.33994459339871,143.3394442159224,122.38744547239683,168.304930144571,127.2293934196051,186.37426524235957,116.39400764229315,149.37551606985846,148.49757612008023,276.431988484823,101.44938037752998
2018-05-09,116.34720655678261,147.18218451125745,123.52252699024808,173.09823975125175,128.47827734366047,191.99366386213802,116.84321965941653,151.13329576216054,150.11605394736597,285.6906989543205,101.45636508685358
2018-05-10,117.3135266624314,150.8483467208041,124.61202669400177,177.67867762965932,129.67762413079106,197.37217018215708,117.27233819145981,152.78618649514422,151.67193870950808,294.58109309512747,101.46339053753121
2018-05-11,117.22664191180678,150.48972276291494,124.51342290582184,177.22908935736297,129.56844172801306,196.84255979563915,117.23895967500482,152.63329232500234,151.5288688463226,293.70052072308556,101.47049700119386
2018-05-14,117.38879230109632,151.02635081148335,124.69586564582326,177.89978071328434,129.7689190659707,197.63047312521752,117.31457916432775,152.87749270139702,151.7881829733463,295.00444519707054,101.47768449473142
2018-05-15,116.3503895526812,147.1203652628718,123.52333054909109,173.01041403557113,128.47635881080612,191.87849512081408,116.8652656099465,151.15380362279961,150.10711208091692,285.46208881927106,101.48491276630556
2018-05-16,116.96750902352935,149.29034154601263,124.21889605157213,175.72098433157046,129.2418359717858,195.06070792617425,117.14110649296101,152.13521847397146,151.09965925676613,290.7201219254054,101.49210128095984
2018-05-17,116.60922343871552,147.944580216382,123.81406757536323,174.0371878638264,128.79532289861183,193.0808334168438,116.98879124994951,151.54128991695626,150.51843793757516,287.4391431353457,101.49929030480055
2018-05-18,116.12872712544136,146.05008480212473,123.27144854881841,171.66850573558133,128.19713380376066,190.29757823661876,116.78255111962905,150.6983360123265,149.74049555650413,282.83307226620377,101.50647983786382
2018-05-21,116.65185358774902,148.09310080914764,123.86091463566926,174.21921445174937,128.8456826365129,193.2906194169594,117.01733449795233,151.62657333831802,150.5810310027188,287.7735912958809,101.51362959983649
2018-05-22,116.53159898720595,147.4782195051451,123.72469651609003,173.44987234642667,128.69510726406318,192.38603975472574,116.9692468032945,151.35721944452055,150.3843099408387,286.274924855002,101.5208604317862
2018-05-23,116.85514508966747,148.7495320946905,124.22977565977781,175.60597128219973,129.33143929236726,195.26462810640962,117.32032610086833,152.69602571190242,151.65405497660987,293.47191058803617,101.52809177878919
2018-05-24,116.84846771842467,148.71206984309478,124.21586329221277,175.5374604032436,129.3122266596875,195.17044525337482,117.31362214811467,152.65756954432777,151.6093456443644,293.22213284788967,101.53528335195683
2018-05-25,116.89482298483253,148.85038798385656,124.28251072936803,175.76540233357932,129.3936632396886,195.47181913933923,117.36016194717351,152.7995574220761,151.76135737399898,293.9629990262902,101.5424351427485
2018-05-29,116.71934757187299,148.19166049139926,124.01225819556613,174.6489290988302,129.05421060897484,193.97910137569556,117.18398799560894,152.12335314291664,151.090717390317,290.2078658820542,101.54954714267019
2018-05-30,117.01729257765061,149.3047167855905,124.46070293186102,176.51756159274373,129.61238462270725,196.4668815990912,117.48311907119088,153.265940081667,152.1726832306572,296.3972736124636,101.55678053303217
2018-05-31,116.99626766998652,149.2004550969387,124.4249361964821,176.3360503838402,129.5658312418821,196.22163726352156,117.46201046684574,153.15891221228853,152.0743226997172,295.76647898056825,101.56405473893942
2018-06-01,117.64455520482207,151.63662482652356,125.40606713490028,180.44387336672557,130.78998771687873,201.704121266272,118.11287872716643,155.65971628493892,154.46180104162494,309.52542229372176,101.57128916267975
2018-06-04,118.02182498732734,153.00467128854496,125.97677427284282,182.76402677351132,131.50238527355282,204.81348586041267,118.49165035829623,157.0640585695716,155.8567322076834,317.46327420515655,101.57848379566208
2018-06-05,118.15529526600544,153.5645361209041,126.17643068604937,183.71378548381173,131.75059797477846,206.0877619790686,118.6256519600851,157.63877725025074,156.3395929959344,320.7400194741968,101.58575955610856
2018-06-06,118.4020536663726,154.45846911583558,126.54900017754865,185.2359151381186,132.21554503985732,208.13381625586138,118.87339266484392,158.55642730034893,157.25166337374185,326.0319207484866,101.59303583769581
2018-06-07,118.07062282737265,153.21127163838239,126.03904286190316,183.09346245060004,131.5742902056686,205.24206827304954,118.5406424544743,157.27614026076498,155.9729764715216,318.4666186867619,101.60035295515793
2018-06-08,118.07848903412854,153.1827624086347,126.04716964335138,183.03917105853918,131.58258577340058,205.1660973477073,118.54853997529867,157.24687464885162,155.98191833797065,318.25494263579026,101.60763028202635
2018-06-11,118.19530612132638,153.60849652600086,126.22146554691003,183.76031584228443,131.79905146422718,206.13316010630024,118.66582209200554,157.68390397470114,156.402186061078,320.74001947419674,101.61486780965954
2018-06-12,118.41840027132503,154.46791356336794,126.55793883498563,185.22340640030043,132.21877339181674,208.09967361372782,118.88980434292785,158.5661223197748,157.22483777439456,325.8244782185344,101.62214617618321
2018-06-13,118.42149526363896,154.41320865391955,126.55882222314638,185.12407356586164,132.21800777420808,207.9628042504836,118.89291165589444,158.50996602709895,157.21589590794545,325.45192836882444,101.62934441153737
2018-06-14,118.84662300738064,156.06335429308663,127.20399488996605,187.94458942360214,133.02494023346551,211.762004099404,119.31973176289125,160.20389189966065,158.8075481358839,335.34566699123667,101.63662381497637
2018-06-15,118.70694384216746,155.5279290743732,126.98651650913801,187.0176714848621,132.75011818281928,210.50571177891055,119.17949655801662,159.6542612432669,158.2531524160401,332.0138859489438,101.64390373981709
2018-06-18,118.68861211313022,155.41370261076005,126.9546036106375,186.81571069749862,132.70818287013176,210.22990551368656,119.16109185339714,159.5370042221574,158.16227622731802,331.27301977054327,101.65118418609684
2018-06-19,118.57645803587418,154.93433947710045,126.77932791360872,185.98680379243106,132.4864187484018,209.10753822016255,119.04849130930366,159.0449230414514,157.71422445330293,328.30955505694095,101.65846515385306
2018-06-20,118.87673548442628,156.0778378881154,127.23407900557416,187.94206911782905,133.0547873966134,211.74254091947208,119.34996411272908,160.2187597608752,158.8343538883406,335.1890267135177,101.665746643123
2018-06-21,118.5207775092518,154.67069528477663,126.68591219966162,185.51570088464055,132.36498810548508,208.45914334547183,118.99258912771128,158.77428407000073,157.4543544243742,326.51030862368236,101.67302865394406
2018-06-22,118.43422289050942,154.1339167789933,126.54985537191475,184.59025623911828,132.19250474485364,207.20827953920525,118.90568994934303,158.22326422229781,157.10487404064247,323.22932983362267,101.68031118635359
2018-06-25,117.50578373140976,150.6965083178595,125.12876375348587,178.70372304107693,130.40927462582172,199.2759486528339,117.97355482746367,154.69465742016368,153.56526502592342,302.5909148638923,101.68755389105914
2018-06-26,117.67921694933854,151.2849768949088,125.38877876616965,179.69517701652214,130.73260217872814,200.5998169712901,118.14767845435672,155.2987387352872,154.19253750954456,305.9269294272047,101.69479711166369
2018-06-27,117.12454876135452,149.1670453102038,124.54065618367194,176.09588645654046,129.66961827703395,195.7753471574591,117.5908022240279,153.12461602605882,152.095655207154,293.6497184708523,101.702040848204
