date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2018-06-11,TQQQ_Full_35_20_45,TQQQ,14,cash_secured_put,OPEN,put,-1.0,6.5,2018-07-20,236,7.5762,0.15919394619186567,0.14919394619186566,0.16919394619186567,0.14919394619186566,0.5878327781746131,-0.1829574037192757,3520.9771301280293,-389.4000000000002,389.4000000000002,CONDITIONAL_ENTRY_CSP,,
2018-07-09,TQQQ_Full_35_20_45,TQQQ,14,cash_secured_put,CLOSE,put,-1.0,6.5,2018-07-20,236,7.8475,0.018068911301533597,0.008068911301533596,0.0280689113015336,0.0280689113015336,0.669178655947663,-0.04600370771083684,-662.4263067161929,-389.4000000000001,389.4000000000001,CSP_PROFIT_TARGET,,
2018-07-31,TQQQ_Full_35_20_45,TQQQ,15,insurance,OPEN,put,1.0,6.5,2018-10-19,177,7.6788,0.3706851234864095,0.35771114416438515,0.3836591028084338,0.3836591028084338,0.6396790136223717,-0.2353998273075485,-6790.766119709278,-344.68943399983044,344.68943399983044,RISK_WARNING_INSURANCE_ENTRY,,
2018-07-31,TQQQ_Full_35_20_45,TQQQ,15,insurance,OPEN,put,-1.0,5.0,2018-10-19,177,7.6788,0.13542147895833767,0.12542147895833766,0.14542147895833768,0.12542147895833766,0.7920319066731113,-0.08779144263200567,2219.9601775625765,-292.0500000000002,292.0500000000002,RISK_WARNING_INSURANCE_ENTRY,,
2018-08-06,TQQQ_Full_35_20_45,TQQQ,15,insurance,CLOSE,put,1.0,6.5,2018-10-19,177,8.3163,0.21782767597123254,0.20782767597123253,0.22782767597123255,0.20782767597123253,0.6339907904085171,-0.1538132264561347,3678.549864690816,-292.0500000000002,292.0500000000002,INSURANCE_RECOVERY_EXIT,,
2018-08-06,TQQQ_Full_35_20_45,TQQQ,15,insurance,CLOSE,put,-1.0,5.0,2018-10-19,177,8.3163,0.06523864403064272,0.05523864403064272,0.07523864403064272,0.07523864403064272,0.7631920927130854,-0.048032287775464866,-1331.7239993423761,-292.0499999999999,292.0499999999999,INSURANCE_RECOVERY_EXIT,,
2018-09-05,TQQQ_Full_35_20_45,TQQQ,16,covered_call,OPEN,call,-1.0,10.0,2018-10-19,82,8.575,0.17417553564959265,0.16417553564959264,0.18417553564959266,0.16417553564959264,0.5051334181935757,0.21939634898739246,1346.2393923266595,-135.30000000000007,135.30000000000007,GREED_EXHAUSTION_COVERED_CALL,,
2018-09-07,TQQQ_Full_35_20_45,TQQQ,16,covered_call,CLOSE,call,-1.0,10.0,2018-10-19,82,8.2587,0.11857527149574199,0.10857527149574199,0.128575271495742,0.128575271495742,0.5236010742624081,0.16489298548346792,-1054.3172262650844,-135.30000000000007,135.30000000000007,CALL_STATE_EXIT,,
2018-09-13,TQQQ_Full_35_20_45,TQQQ,17,cash_secured_put,OPEN,put,-1.0,7.5,2018-10-19,216,8.6925,0.1755342357598475,0.1655342357598475,0.1855342357598475,0.1655342357598475,0.5883528546002682,-0.183396236418659,3575.539492412706,-356.4000000000002,356.4000000000002,CONDITIONAL_ENTRY_CSP,,
2018-09-21,TQQQ_Full_35_20_45,TQQQ,18,covered_call,OPEN,call,-1.0,9.5,2018-10-19,82,8.5663,0.1540187467616596,0.1440187467616596,0.16401874676165962,0.1440187467616596,0.48167780592981596,0.24312393523332554,1180.9537234456088,-135.30000000000007,135.30000000000007,GREED_EXHAUSTION_COVERED_CALL,,
