date,drawdown_63,drawdown_252,below_ma200,negative_return_5,vxn_level,vxn_change_5,breadth_rel_20,breadth_rel_63,credit_stress_level,credit_widening,vix_term_stress
2016-12-07,0.0,0.0,0.0,0.0,0.0,11.349206349206355,0.0,,,0.0,0.0
2016-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-12-13,0.0,0.0,0.0,0.0,0.0,0.0,61.25,,,0.0,0.0
2016-12-14,0.0,0.0,0.0,0.0,0.0,0.0,76.54320987654322,,,0.0,0.0
2016-12-15,0.0,0.0,0.0,0.0,0.0,0.0,54.8780487804878,,,0.0,0.0
2016-12-16,0.0,0.0,0.0,5.793650793650798,0.0,0.0,0.0,,,0.0,0.0
2016-12-19,0.0,0.0,0.0,0.0,0.0,0.0,13.095238095238102,,,0.0,0.0
2016-12-20,0.0,0.0,0.0,7.2222222222222285,0.0,0.0,30.588235294117652,,,0.0,0.0
2016-12-21,0.0,0.0,0.0,0.0,0.0,0.0,40.69767441860466,,,0.0,0.0
2016-12-22,0.0,0.0,0.0,20.714285714285708,0.0,0.0,85.05747126436782,,,0.0,0.0
2016-12-23,0.0,0.0,0.0,0.0,0.0,8.80952380952381,80.68181818181819,,,0.0,0.0
2016-12-27,0.0,0.0,0.0,0.0,0.0,53.730158730158735,44.943820224719104,,,0.0,0.0
2016-12-28,0.0,0.0,0.0,44.36507936507937,0.0,81.82539682539684,56.66666666666666,,,0.0,0.0
2016-12-29,0.0,0.0,0.0,45.793650793650784,0.0,80.87301587301587,79.12087912087912,,,0.0,0.0
2016-12-30,16.904761904761898,1.8518518518518476,0.0,64.20634920634922,1.1111111111111143,89.44444444444446,72.82608695652175,,,0.0,0.0
2017-01-03,0.0,0.0,0.0,45.15873015873015,0.0,87.06349206349208,64.51612903225808,,,0.0,0.0
2017-01-04,0.0,0.0,0.0,44.68253968253967,0.0,44.68253968253967,35.10638297872342,,,0.0,0.0
2017-01-05,0.0,0.0,0.0,0.0,0.0,0.0,86.31578947368422,,,27.368421052631575,0.0
2017-01-06,0.0,0.0,0.0,0.0,0.0,0.0,94.79166666666666,,,21.875,0.0
2017-01-09,0.0,0.0,0.0,0.0,0.0,0.0,98.0,,,51.54639175257731,0.0
2017-01-10,0.0,0.0,0.0,0.0,0.0,0.0,90.81632653061226,,,68.36734693877551,0.0
2017-01-11,0.0,0.0,0.0,0.0,0.0,0.0,52.52525252525251,,,64.64646464646464,0.0
2017-01-12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,75.0,0.0
2017-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,65.34653465346534,0.0
2017-01-17,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,89.2156862745098,0.0
2017-01-18,0.0,0.0,0.0,4.365079365079367,0.0,0.0,0.0,,,67.96116504854368,0.0
2017-01-19,0.0,0.0,0.0,20.079365079365076,0.0,13.888888888888886,0.961538461538467,,,50.96153846153845,0.0
2017-01-20,0.0,0.0,0.0,2.7777777777777715,0.0,0.0,0.0,,,62.85714285714286,0.0
2017-01-23,0.0,0.0,0.0,15.0,0.0,15.317460317460316,8.490566037735846,0.0,,82.0754716981132,0.0
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,72.89719626168224,0.0
2017-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.703703703703695,0.0
2017-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.53211009174311,0.0
2017-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.272727272727266,0.0
2017-01-30,0.0,0.0,0.0,0.0,0.0,18.492063492063494,0.0,0.0,,18.01801801801801,0.0
2017-01-31,0.0,0.0,0.0,8.333333333333329,0.0,68.96825396825398,0.0,0.0,,27.67857142857143,0.0
2017-02-01,0.0,0.0,0.0,19.444444444444443,0.0,28.492063492063494,15.929203539823007,0.0,,38.93805309734512,0.0
2017-02-02,0.0,0.0,0.0,28.015873015873012,0.0,50.39682539682539,50.0,0.0,,58.7719298245614,0.0
2017-02-03,0.0,0.0,0.0,25.95238095238095,0.0,31.984126984126988,20.869565217391298,0.0,,8.695652173913047,0.0
2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,21.551724137931032,0.0,,66.37931034482759,0.0
2017-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,59.829059829059815,0.0
2017-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.81355932203391,0.0
2017-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35.29411764705881,0.0
2017-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.5,0.0
2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17948717948718,,19.83471074380165,0.0
2017-02-14,0.0,0.0,0.0,0.0,0.0,0.0,35.245901639344254,65.82278481012659,,0.0,0.0
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,53.65853658536585,88.75,,0.0,16.904761904761898
2017-02-16,0.0,0.0,0.0,0.0,0.0,13.095238095238102,58.87096774193549,93.82716049382717,,26.61290322580645,0.0
2017-02-17,0.0,0.0,0.0,0.0,0.0,0.0,56.0,84.14634146341464,,46.400000000000006,0.0
2017-02-21,0.0,0.0,0.0,0.0,0.0,45.0,29.365079365079367,79.51807228915663,,0.0,0.0
2017-02-22,0.0,0.0,0.0,0.0,0.0,49.12698412698413,88.18897637795277,84.52380952380952,,25.196850393700785,0.0
2017-02-23,0.0,0.0,0.0,0.0,0.0,53.730158730158735,92.96875,94.11764705882354,,82.03125,0.0
2017-02-24,0.0,0.0,0.0,0.0,0.0,8.650793650793645,69.76744186046511,89.53488372093022,,85.27131782945736,0.0
2017-02-27,0.0,0.0,0.0,2.301587301587304,0.0,55.95238095238096,42.30769230769232,94.2528735632184,,70.0,0.0
2017-02-28,0.0,0.0,0.0,35.793650793650784,0.0,36.9047619047619,79.38931297709922,98.0,,58.01526717557252,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,24.52380952380952,96.21212121212122,96.62921348314606,,0.0,0.0
2017-03-02,0.0,0.0,0.0,0.0,0.0,0.0,84.21052631578948,94.44444444444446,,3.0075187969924855,0.0
2017-03-03,0.0,0.0,0.0,0.0,0.0,0.0,94.77611940298507,98.0,,5.223880597014926,0.0
2017-03-06,0.0,0.0,0.0,10.23809523809524,0.0,0.0,96.2962962962963,98.0,,32.59259259259258,0.0
2017-03-07,0.0,0.0,0.0,3.7301587301587347,0.0,0.0,97.79411764705881,98.0,,28.676470588235304,0.0
