date,momentum_deceleration,macd_rollover,breadth_weakening_5,breadth_weakening_20,failed_breakout,volume_price_divergence,relative_strength_weakening,rsi_rollover
2016-12-19,34.404761904761905,13.373015873015873,77.27272727272727,56.54761904761905,22.182539682539684,25.294117647058822,67.26190476190476,30.91269841269841
2016-12-20,50.67460317460318,17.817460317460316,60.5,65.29411764705883,10.515873015873016,25.58139534883721,72.3529411764706,10.634920634920634
2016-12-21,44.007936507936506,22.341269841269842,30.198019801980198,70.34883720930233,25.833333333333332,52.298850574712645,66.86046511627907,25.753968253968253
2016-12-22,57.8968253968254,31.865079365079364,47.549019607843135,92.52873563218391,35.198412698412696,65.3409090909091,63.793103448275865,41.07142857142857
2016-12-23,44.642857142857146,36.07142857142857,75.24271844660194,90.3409090909091,31.865079365079364,25.280898876404493,64.20454545454545,38.29365079365079
2016-12-27,46.388888888888886,38.214285714285715,62.01923076923077,72.47191011235955,10.555555555555555,25.555555555555557,63.48314606741573,10.674603174603174
2016-12-28,68.21428571428571,50.595238095238095,72.85714285714286,78.33333333333333,48.13492063492063,81.86813186813187,66.11111111111111,57.42063492063492
2016-12-29,75.35714285714286,62.34126984126984,71.22641509433963,89.56043956043956,51.54761904761905,55.97826086956522,53.2967032967033,62.42063492063492
2016-12-30,89.4047619047619,74.96031746031746,42.52336448598131,86.41304347826087,69.8015873015873,95.16129032258064,32.06521739130435,86.23015873015873
2017-01-03,80.75396825396825,78.37301587301587,45.833333333333336,82.25806451612904,54.08730158730159,25.0,33.87096774193548,67.42063492063492
2017-01-04,79.4047619047619,80.51587301587301,16.05504587155963,67.55319148936171,42.26190476190476,25.263157894736842,38.829787234042556,56.15079365079365
2017-01-05,50.67460317460318,71.86507936507937,15.909090909090908,93.15789473684211,22.341269841269842,25.520833333333332,24.736842105263158,42.023809523809526
2017-01-06,25.674603174603174,54.801587301587304,31.08108108108108,97.39583333333333,10.555555555555555,25.77319587628866,21.354166666666668,10.555555555555555
2017-01-09,9.007936507936508,26.547619047619047,62.05357142857143,99.0,10.555555555555555,26.020408163265305,2.577319587628866,10.555555555555555
2017-01-10,15.357142857142858,15.674603174603174,55.309734513274336,95.40816326530613,10.555555555555555,26.262626262626263,2.5510204081632653,10.555555555555555
2017-01-11,20.91269841269841,12.023809523809524,88.15789473684211,76.26262626262626,10.595238095238095,26.5,1.0,10.595238095238095
2017-01-12,25.674603174603174,12.103174603174603,69.1304347826087,51.5,28.452380952380953,64.85148514851485,11.5,31.23015873015873
2017-01-13,39.96031746031746,14.325396825396826,60.775862068965516,38.118811881188115,10.555555555555555,26.470588235294116,22.277227722772277,10.555555555555555
2017-01-17,51.46825396825397,20.595238095238095,26.068376068376068,29.901960784313726,32.57936507936508,69.41747572815534,18.137254901960784,39.642857142857146
2017-01-18,55.51587301587302,27.817460317460316,28.389830508474578,43.20388349514563,24.246031746031747,26.442307692307693,19.902912621359224,31.706349206349206
2017-01-19,61.70634920634921,38.53174603174603,42.436974789915965,50.48076923076923,27.976190476190474,56.666666666666664,18.75,38.76984126984127
2017-01-20,50.03968253968254,43.05555555555556,49.583333333333336,42.38095238095238,10.476190476190476,26.41509433962264,22.38095238095238,28.928571428571427
2017-01-23,59.32539682539682,49.56349206349206,50.82644628099174,54.24528301886792,10.476190476190476,26.635514018691588,19.339622641509433,26.706349206349206
2017-01-24,40.992063492063494,44.96031746031746,23.360655737704917,23.83177570093458,10.515873015873016,26.85185185185185,12.616822429906541,10.436507936507937
2017-01-25,28.61111111111111,34.72222222222222,42.68292682926829,28.24074074074074,10.555555555555555,27.06422018348624,4.166666666666667,10.476190476190476
2017-01-26,23.928571428571427,25.1984126984127,46.37096774193548,38.99082568807339,10.595238095238095,27.272727272727273,8.715596330275229,10.515873015873016
2017-01-27,28.214285714285715,19.246031746031747,68.4,35.90909090909091,10.595238095238095,27.47747747747748,1.3636363636363635,10.515873015873016
2017-01-30,43.37301587301587,20.674603174603174,55.15873015873016,35.585585585585584,46.86507936507937,89.73214285714286,3.1531531531531534,66.78571428571429
2017-01-31,71.38888888888889,30.515873015873016,73.62204724409449,30.803571428571427,52.182539682539684,70.35398230088495,1.0,76.23015873015873
2017-02-01,75.5952380952381,42.1031746031746,87.109375,57.9646017699115,32.817460317460316,27.19298245614035,1.0,62.57936507936508
2017-02-02,76.23015873015873,54.24603174603175,60.85271317829457,75.0,35.75396825396825,59.56521739130435,1.3157894736842106,66.30952380952381
2017-02-03,73.76984126984127,63.37301587301587,40.38461538461539,60.43478260869565,26.785714285714285,27.155172413793103,6.521739130434782,60.595238095238095
2017-02-06,48.76984126984127,60.67460317460318,61.45038167938932,60.775862068965516,21.071428571428573,27.35042735042735,18.53448275862069,57.8968253968254
2017-02-07,35.27777777777778,52.182539682539684,85.22727272727273,47.43589743589744,10.476190476190476,27.54237288135593,27.77777777777778,49.56349206349206
2017-02-08,46.388888888888886,50.595238095238095,46.2406015037594,48.728813559322035,10.515873015873016,27.73109243697479,32.6271186440678,44.007936507936506
2017-02-09,37.023809523809526,44.96031746031746,63.80597014925373,41.596638655462186,10.515873015873016,27.916666666666668,37.39495798319328,35.75396825396825
2017-02-10,39.801587301587304,41.62698412698413,41.111111111111114,37.916666666666664,10.515873015873016,28.09917355371901,38.75,10.357142857142858
2017-02-13,30.357142857142858,34.404761904761905,41.544117647058826,42.56198347107438,10.515873015873016,28.278688524590162,39.256198347107436,10.357142857142858
2017-02-14,35.595238095238095,29.642857142857142,45.62043795620438,67.62295081967213,10.555555555555555,28.45528455284553,39.75409836065574,10.396825396825397
2017-02-15,29.08730158730159,22.896825396825395,63.405797101449274,76.82926829268293,10.555555555555555,28.629032258064516,39.43089430894309,10.436507936507937
2017-02-16,36.94444444444444,20.833333333333332,83.09352517985612,79.43548387096774,22.817460317460316,59.6,44.75806451612903,23.69047619047619
2017-02-17,33.69047619047619,18.61111111111111,89.64285714285714,78.0,10.555555555555555,28.571428571428573,37.2,10.476190476190476
2017-02-21,39.08730158730159,17.57936507936508,72.69503546099291,64.68253968253968,10.555555555555555,28.74015748031496,45.63492063492063,10.515873015873016
2017-02-22,40.833333333333336,19.08730158730159,73.59154929577464,94.09448818897638,10.595238095238095,28.90625,43.7007874015748,10.555555555555555
2017-02-23,55.992063492063494,28.293650793650794,89.86013986013987,96.484375,34.801587301587304,79.45736434108527,52.734375,55.595238095238095
2017-02-24,50.198412698412696,35.198412698412696,65.625,84.88372093023256,28.134920634920636,28.846153846153847,56.97674418604651,51.388888888888886
2017-02-27,59.007936507936506,43.69047619047619,58.96551724137931,71.15384615384616,25.753968253968253,29.00763358778626,66.53846153846153,50.03968253968254
2017-02-28,78.45238095238095,60.357142857142854,90.06849315068493,89.69465648854961,36.30952380952381,76.89393939393939,62.97709923664122,72.10317460317461
2017-03-01,63.53174603174603,61.388888888888886,91.49659863945578,98.10606060606061,10.515873015873016,28.94736842105263,65.53030303030303,50.198412698412696
2017-03-02,59.08730158730159,64.08730158730158,72.63513513513513,92.10526315789474,39.642857142857146,86.19402985074628,72.55639097744361,77.97619047619048
2017-03-03,61.23015873015873,65.35714285714286,90.93959731543625,97.38805970149254,33.53174603174603,28.88888888888889,70.5223880597015,75.11904761904762
