date,risk_level,risk_acceleration,fragility,affordability
2019-12-26,0.0,10.566979499297533,50.86279111063817,47.61904761904763
2019-12-27,0.0,27.91763493153544,53.37383514486109,42.8835978835979
2019-12-30,0.03937114411239229,65.84886859160697,58.134175265970256,35.03968253968256
2019-12-31,0.0,53.42875783149809,59.81434917680102,27.962962962962976
2020-01-02,0.0,50.151334666506145,60.62142662004418,28.54497354497356
2020-01-03,0.0,24.037507094340214,62.20437210053344,31.276455026455025
2020-01-06,0.0,23.04527994749262,64.16708732479053,31.55423280423281
2020-01-07,0.0,0.0,64.10919174535363,28.796296296296305
2020-01-08,0.0,0.0,60.63590733909554,28.485449735449734
2020-01-09,0.0,0.0,59.907113051230674,31.73280423280424
2020-01-10,0.0,0.0,61.15933690900302,33.776455026455025
2020-01-13,0.0,0.0,60.98569610894427,39.0410052910053
2020-01-14,0.0,0.0,60.56181390584743,41.26984126984129
2020-01-15,0.0,1.767688231020399,58.30589294572269,45.2910052910053
2020-01-16,0.0,0.0,56.66533030702082,48.49867724867726
2020-01-17,0.0,0.0,54.25513143203399,51.79232804232805
2020-01-21,0.0,0.0,55.35236085034285,49.56349206349208
2020-01-22,7.271669501921592,31.059502745442792,57.768199028908334,43.34656084656086
2020-01-23,15.726461592427876,54.840404703135725,58.9311413193638,38.287037037037045
2020-01-24,30.441400915664975,100.0,62.21948952026974,32.98280423280424
2020-01-27,59.77258931584212,100.0,66.93515969994837,25.343915343915356
2020-01-28,77.25493418950776,100.0,71.17812589655101,21.34259259259261
2020-01-29,84.13378551324845,100.0,71.60459035011301,22.169312169312192
2020-01-30,68.76739534408746,100.0,71.36354208025482,31.534391534391546
2020-01-31,78.43440163888324,95.98600144643655,72.98047521378004,27.76455026455028
2020-02-03,71.87642091065129,24.20766318961835,70.05253745618623,27.063492063492077
2020-02-04,66.79403629314173,0.0,65.5234133053767,28.644179894179914
2020-02-05,46.299076205294995,0.0,58.900465061012376,38.37962962962964
2020-02-06,43.00474413287682,0.0,55.19321369416407,45.906084656084666
2020-02-07,44.452117162760686,0.0,53.93221758189032,43.65740740740742
2020-02-10,46.94262257369489,0.0,52.826358834888914,42.36772486772488
2020-02-11,49.555168115275286,0.0,52.35648289140646,39.3452380952381
2020-02-12,43.79910791827619,0.0,51.61663263119095,42.890211640211646
2020-02-13,40.321059510898664,0.0,54.12955261746378,44.74867724867726
2020-02-14,31.65572232045909,0.0,54.34519076035352,49.00132275132276
2020-02-18,35.35020674264272,0.0,53.671987028159734,45.97222222222223
2020-02-19,35.49462019560545,0.0,52.171968647835826,45.51587301587302
2020-02-20,45.22656075747397,2.8549056783955606,56.38228399443638,40.621693121693134
2020-02-21,62.09547184414346,43.548824666489594,61.92769290749102,36.84523809523811
2020-02-24,92.46368700760704,100.0,65.38618073410933,25.806878306878318
2020-02-25,100.0,100.0,65.49197711196146,16.50793650793652
2020-02-26,100.0,100.0,64.37334453962094,9.272486772486786
2020-02-27,100.0,100.0,63.700964196871574,5.465608465608469
2020-02-28,100.0,100.0,63.51944878400065,3.246031746031761
2020-03-02,100.0,100.0,64.03825592348318,12.42724867724867
2020-03-03,100.0,73.32511020405668,65.11847904228175,19.330687830687836
2020-03-04,100.0,8.418157866371061,63.45276515777917,34.236772486772495
2020-03-05,100.0,0.0,60.68707625859797,31.76322751322752
2020-03-06,100.0,0.0,57.590522199332625,29.924603174603178
2020-03-09,100.0,0.0,59.90454169104549,15.70502645502647
