date,return_20,return_63,above_ma20,low_vxn,term_contango,above_ma200,return_252,breadth_concentration_20,breadth_concentration_63,rsi,up_day_share
2018-10-15,5.595238095238095,5.595238095238095,2.261904761904762,3.5317460317460316,2.261904761904762,10.357142857142858,29.642857142857142,96.77121771217712,91.68336673346694,2.1031746031746033,5.158730158730159
2018-10-16,10.119047619047619,11.30952380952381,9.325396825396826,8.968253968253968,9.642857142857142,17.341269841269842,36.15079365079365,98.06629834254143,94.7,15.277777777777779,17.063492063492063
2018-10-17,10.753968253968255,12.658730158730158,10.357142857142858,8.055555555555555,13.055555555555555,17.261904761904763,35.992063492063494,99.0,96.9061876247505,15.357142857142858,17.103174603174605
2018-10-18,3.5317460317460316,7.976190476190476,3.7698412698412698,4.563492063492063,5.277777777777778,11.15079365079365,30.03968253968254,90.0,95.71713147410358,5.833333333333333,17.142857142857142
2018-10-19,4.404761904761905,7.420634920634921,4.166666666666667,4.722222222222222,6.23015873015873,11.071428571428571,30.436507936507937,99.0,95.92445328031809,5.753968253968254,17.182539682539684
2018-10-22,4.642857142857143,7.5,6.071428571428571,5.317460317460317,7.976190476190476,11.944444444444445,31.150793650793652,97.16636197440585,93.75,7.738095238095238,37.301587301587304
2018-10-23,4.007936507936508,5.119047619047619,6.071428571428571,5.277777777777778,3.9285714285714284,11.23015873015873,31.865079365079364,96.44160583941606,94.95049504950495,6.626984126984127,17.22222222222222
2018-10-24,1.0,2.3412698412698414,1.0,1.0,1.0,3.5317460317460316,24.00793650793651,78.59744990892531,95.94861660079052,1.0,17.261904761904763
2018-10-25,1.3888888888888888,7.103174603174603,4.880952380952381,1.5476190476190477,1.4682539682539681,8.293650793650794,29.563492063492063,87.54545454545455,99.0,8.214285714285714,37.5
2018-10-26,1.0,5.595238095238095,2.1825396825396823,1.3888888888888888,1.7063492063492063,4.166666666666667,26.071428571428573,85.57168784029038,99.0,4.007936507936508,17.3015873015873
2018-10-29,1.0,2.8174603174603177,1.0,1.0,1.9444444444444444,2.4206349206349205,19.642857142857142,35.05434782608695,95.57956777996071,2.1825396825396823,17.341269841269842
2018-10-30,1.0,3.611111111111111,2.8968253968253967,1.0,2.5,4.007936507936508,21.626984126984127,14.014466546112116,72.84313725490196,4.801587301587301,17.38095238095238
2018-10-31,1.1507936507936507,4.722222222222222,10.833333333333334,2.0238095238095237,6.5476190476190474,6.785714285714286,24.08730158730159,28.971119133574007,88.35616438356165,12.738095238095237,17.42063492063492
2018-11-01,5.0396825396825395,6.388888888888889,29.88095238095238,5.0396825396825395,13.61111111111111,10.277777777777779,25.595238095238095,17.56756756756757,75.87890625,20.99206349206349,37.857142857142854
2018-11-02,4.563492063492063,3.611111111111111,15.277777777777779,4.404761904761905,14.007936507936508,6.785714285714286,24.325396825396826,13.93884892086331,51.55945419103314,13.928571428571429,37.8968253968254
2018-11-05,4.9603174603174605,3.0555555555555554,14.404761904761905,3.611111111111111,9.404761904761905,6.150793650793651,22.976190476190474,11.400359066427288,34.33852140077821,11.944444444444445,17.46031746031746
2018-11-06,5.992063492063492,3.6904761904761907,26.38888888888889,5.198412698412699,4.722222222222222,7.896825396825397,23.69047619047619,4.92831541218638,26.310679611650485,16.944444444444443,38.01587301587302
2018-11-07,58.611111111111114,8.452380952380953,84.16666666666667,10.595238095238095,22.57936507936508,14.404761904761905,27.261904761904763,28.354203935599283,58.042635658914726,37.023809523809526,60.476190476190474
2018-11-08,64.56349206349206,8.76984126984127,70.91269841269842,9.325396825396826,17.023809523809526,13.293650793650794,25.515873015873016,23.660714285714285,50.77369439071567,33.37301587301587,38.01587301587302
2018-11-09,17.817460317460316,6.071428571428571,35.11904761904762,7.738095238095238,18.452380952380953,9.166666666666666,24.325396825396826,8.288770053475936,38.32046332046332,21.150793650793652,38.01587301587302
2018-11-12,10.198412698412698,2.261904761904762,6.944444444444445,2.8968253968253967,5.833333333333333,4.087301587301587,20.11904761904762,10.587188612099645,31.88824662813102,8.61111111111111,38.01587301587302
2018-11-13,4.007936507936508,3.0555555555555554,8.61111111111111,3.2142857142857144,9.642857142857142,4.246031746031746,20.03968253968254,5.772646536412078,29.134615384615383,8.76984126984127,38.01587301587302
2018-11-14,2.9761904761904763,2.5793650793650795,6.5476190476190474,2.738095238095238,7.103174603174603,3.373015873015873,18.928571428571427,3.4574468085106385,26.19961612284069,6.468253968253968,17.5
2018-11-15,10.753968253968255,3.6904761904761907,19.404761904761905,5.674603174603175,10.436507936507937,5.436507936507937,23.134920634920636,7.345132743362832,43.96551724137931,14.722222222222221,17.53968253968254
2018-11-16,10.436507936507937,3.4523809523809526,17.817460317460316,8.015873015873016,19.682539682539684,4.9603174603174605,20.357142857142858,3.9752650176678443,55.927342256214146,13.055555555555555,17.57936507936508
2018-11-19,3.0555555555555554,1.0714285714285714,3.5317460317460316,3.6904761904761907,12.023809523809524,1.9444444444444444,15.595238095238095,1.0,34.82824427480916,4.722222222222222,17.61904761904762
2018-11-20,1.5476190476190477,1.0,1.9444444444444444,2.4206349206349205,6.071428571428571,1.0,12.738095238095237,1.0,23.904761904761905,2.5793650793650795,5.198412698412699
2018-11-21,11.071428571428571,1.0,3.0555555555555554,4.325396825396825,11.706349206349206,1.2301587301587302,11.865079365079366,1.0,16.44486692015209,4.325396825396825,5.238095238095238
2018-11-23,3.2142857142857144,1.0,2.8174603174603177,3.2936507936507935,9.484126984126984,1.0,10.277777777777779,1.0,9.392789373814042,3.2142857142857144,5.277777777777778
2018-11-26,13.84920634920635,1.0,8.76984126984127,6.071428571428571,19.246031746031747,2.3412698412698414,14.246031746031745,1.0,10.511363636363637,10.198412698412698,17.896825396825395
2018-11-27,30.11904761904762,1.0,10.119047619047619,7.936507936507937,16.38888888888889,2.6587301587301586,14.96031746031746,3.5839160839160837,15.406427221172022,12.182539682539682,38.611111111111114
2018-11-28,50.67460317460318,1.7857142857142858,50.992063492063494,8.76984126984127,15.158730158730158,6.388888888888889,19.563492063492063,16.49214659685864,21.9811320754717,32.817460317460316,38.65079365079365
2018-11-29,22.658730158730158,1.626984126984127,44.72222222222222,8.61111111111111,15.03968253968254,5.833333333333333,22.42063492063492,7.926829268292683,18.549905838041433,30.595238095238095,38.69047619047619
2018-11-30,18.134920634920636,2.261904761904762,66.15079365079364,9.047619047619047,15.833333333333334,7.420634920634921,22.341269841269842,21.652173913043477,23.778195488721803,36.54761904761905,38.73015873015873
2018-12-03,48.69047619047619,3.5317460317460316,92.5,13.253968253968255,27.5,10.912698412698413,25.357142857142858,37.93402777777778,30.48780487804878,47.8968253968254,61.111111111111114
2018-12-04,16.38888888888889,2.0238095238095237,23.76984126984127,6.626984126984127,7.579365079365079,4.087301587301587,21.30952380952381,36.13518197573657,33.61423220973783,20.11904761904762,61.111111111111114
2018-12-06,15.674603174603174,3.2936507936507935,35.11904761904762,6.150793650793651,6.468253968253968,4.880952380952381,22.42063492063492,48.529411764705884,46.63551401869159,24.642857142857142,80.51587301587301
2018-12-07,1.7857142857142858,1.1507936507936507,7.182539682539683,3.2936507936507935,3.2142857142857144,1.4682539682539681,15.833333333333334,15.284974093264248,30.87686567164179,9.325396825396826,61.15079365079365
2018-12-10,3.8492063492063493,1.5476190476190477,14.96031746031746,4.246031746031746,3.8492063492063493,2.4206349206349205,17.261904761904763,31.46551724137931,62.10428305400372,14.325396825396826,80.55555555555556
2018-12-11,7.976190476190476,1.3095238095238095,21.626984126984127,4.920634920634921,7.341269841269841,2.8968253968253967,16.785714285714285,43.975903614457835,51.951672862453535,16.38888888888889,80.55555555555556
2018-12-12,23.61111111111111,2.3412698412698414,34.801587301587304,5.912698412698413,8.76984126984127,3.8492063492063493,17.103174603174605,63.144329896907216,61.87384044526902,21.865079365079364,80.51587301587301
2018-12-13,23.849206349206348,1.5476190476190477,36.785714285714285,6.626984126984127,14.087301587301587,4.087301587301587,17.817460317460316,88.59348198970841,78.61111111111111,22.341269841269842,80.47619047619048
2018-12-14,13.84920634920635,1.0,9.722222222222221,3.6904761904761907,10.912698412698413,1.4682539682539681,12.182539682539682,72.51712328767124,58.50277264325324,9.484126984126984,80.43650793650794
2018-12-17,4.166666666666667,1.0,3.7698412698412698,1.3888888888888888,2.8174603174603177,1.0,8.373015873015873,73.07692307692308,82.56457564575646,5.0396825396825395,60.91269841269841
2018-12-18,5.992063492063492,1.0,5.833333333333333,2.0238095238095237,2.0238095238095237,1.0,7.658730158730159,77.55972696245733,80.0184162062615,6.785714285714286,60.87301587301587
2018-12-19,8.61111111111111,1.0,2.261904761904762,1.9444444444444444,2.4206349206349205,1.0,2.8174603174603177,94.97444633730835,74.90808823529412,3.2142857142857144,60.833333333333336
2018-12-20,9.325396825396826,1.0,1.0,1.0,1.0,1.0,1.9444444444444444,96.34353741496598,60.825688073394495,2.1825396825396823,38.333333333333336
2018-12-21,1.8650793650793651,1.0,1.0,1.0,1.0,1.0,1.0,73.5993208828523,45.146520146520146,1.0,38.29365079365079
2018-12-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,31.718464351005483,1.0,17.61904761904762
2018-12-26,4.484126984126984,1.0,2.8174603174603177,1.0,1.0,1.0,2.5793650793650795,99.0,46.98905109489051,9.007936507936508,17.61904761904762
2018-12-27,4.722222222222222,1.0,3.6904761904761907,1.0,1.0,1.0,3.373015873015873,98.73310810810811,35.974499089253186,10.357142857142858,17.658730158730158
2018-12-28,1.1507936507936507,1.0,4.404761904761905,1.0,1.3095238095238095,1.0,3.373015873015873,89.79763912310287,30.09090909090909,10.119047619047619,5.277777777777778
2018-12-31,2.0238095238095237,1.0,7.420634920634921,1.1507936507936507,2.4206349206349205,1.0,4.087301587301587,89.3097643097643,40.562613430127044,13.373015873015873,17.77777777777778
2019-01-02,1.5476190476190477,1.0,11.944444444444445,1.9444444444444444,5.436507936507937,1.0714285714285714,6.5476190476190474,84.11764705882354,25.996376811594203,16.30952380952381,38.53174603174603
2019-01-03,1.0,1.0,3.4523809523809526,1.0,3.2142857142857144,1.0,1.0,54.446308724832214,14.014466546112116,6.388888888888889,17.817460317460316
2019-01-04,6.626984126984127,1.0,34.007936507936506,3.611111111111111,12.817460317460318,1.3888888888888888,3.5317460317460316,69.93299832495812,13.989169675090253,25.91269841269841,38.65079365079365
2019-01-07,7.738095238095238,1.3888888888888888,59.642857142857146,3.6904761904761907,10.833333333333334,1.8650793650793651,4.801587301587301,49.247491638795985,11.26126126126126,31.626984126984127,60.992063492063494
2019-01-08,24.96031746031746,2.1825396825396823,80.5952380952381,4.722222222222222,14.642857142857142,2.6587301587301586,4.801587301587301,50.0,10.52158273381295,37.817460317460316,80.39682539682539
2019-01-09,22.976190476190474,3.0555555555555554,92.42063492063492,6.984126984126984,15.515873015873016,3.5317460317460316,5.515873015873016,19.25,8.348294434470377,41.54761904761905,93.21428571428571
2019-01-10,22.976190476190474,3.2142857142857144,96.07142857142857,7.976190476190476,18.61111111111111,3.7698412698412698,6.150793650793651,10.232945091514143,1.3440860215053763,43.13492063492063,93.17460317460318
2019-01-11,16.23015873015873,7.182539682539683,94.56349206349206,9.801587301587302,27.023809523809526,3.6904761904761907,5.912698412698413,10.215946843853821,4.740608228980322,41.07142857142857,80.1984126984127
2019-01-14,12.261904761904763,7.341269841269841,84.4047619047619,8.253968253968255,17.341269841269842,2.5,3.4523809523809526,3.8971807628524044,3.3035714285714284,34.48412698412698,80.15873015873017
2019-01-15,47.57936507936508,6.309523809523809,98.92857142857143,11.706349206349206,15.277777777777779,4.722222222222222,5.277777777777778,17.466887417218544,2.228163992869875,47.5,80.11904761904762
2019-01-16,73.21428571428571,7.896825396825397,98.53174603174604,11.071428571428571,13.69047619047619,4.722222222222222,5.912698412698413,11.818181818181818,8.98576512455516,47.42063492063492,60.476190476190474
