date,strategy_name,state,event_id,event_active,P,S,G,E,R_proxy,R_put,R_call,I,I_need,I_affordability,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,base_portfolio_return,base_pnl,covered_call_pnl,cash_secured_put_pnl,insurance_pnl,assigned_inventory_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,assigned_shares,assigned_market_value,assigned_weight,covered_call_contracts,covered_call_coverage,cash_secured_put_collateral,cash_secured_put_collateral_weight,insurance_contracts,portfolio_return,equity,effective_asset_weight,gross_return,drawdown
2019-02-15,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,26.077744222537632,79.9646197992768,39.200260834583624,31.140465004737973,48.974867724867714,48.974867724867714,48.974867724867714,23.608825777913538,14.470056945507288,51.025132275132286,0.8,0.8,0.01194174757281563,9.107142857142857e-05,0.0,0.0,0.009571612343966791,7228.743279492806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.009571612343966862,762456.0779980004,0.8,0.009571612343966862,-0.07750791622265119
2019-02-19,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,23.141041383243387,79.13550206079289,40.9571187116969,26.6311798454188,47.28835978835978,47.28835978835978,47.28835978835978,20.976869658490237,10.398612807440243,52.71164021164022,0.8,0.8,0.005980363938725253,9.107142857142857e-05,0.0,0.0,0.004802505436694488,3661.699459826154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.004802505436694471,766117.7774578265,0.8,0.004802505436694471,-0.07307764297500285
2019-02-20,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,19.22395325734873,77.44676822774868,41.84165501795587,29.120664794034894,48.48544973544973,48.48544973544973,48.48544973544973,18.009996698678062,6.841812176720658,51.51455026455027,0.8,0.8,-0.0007947609359104657,9.186507936507937e-05,0.0,0.0,-0.0006174357328553566,-473.02849137819015,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0006174357328553315,765644.7489664484,0.8,-0.0006174357328553315,-0.07364995795981255
2019-02-21,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,21.416707346594773,72.82702982300029,40.39717599850713,36.14981101872929,52.86375661375661,52.86375661375661,52.86375661375661,18.78953753558951,9.340635585371551,47.13624338624339,0.8,0.8,-0.011326397505647345,9.186507936507937e-05,0.0,0.0,-0.009042744988644862,-6923.530216798605,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.00904274498864488,758721.2187496497,0.8,-0.00904274498864488,-0.0820267051602025
2019-02-22,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,18.89745466944736,73.24037152273998,42.40030463395018,39.69353760166607,51.58730158730159,51.58730158730159,51.58730158730159,18.21961126536156,8.155248882915943,48.41269841269841,0.8,0.8,0.021721641190667773,9.186507936507937e-05,0.0,0.0,0.017395685968407237,13198.47605893612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.017395685968407237,771919.6948085858,0.8,0.017395685968407237,-0.0660579299957853
2019-02-25,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,19.819417838986094,72.01827645871062,44.33180536813044,39.70185388199898,51.22354497354497,51.22354497354497,51.22354497354497,18.427188928081492,8.310766895290312,48.77645502645503,0.8,0.8,0.011023622047244164,9.226190476190476e-05,0.0,0.0,0.008837350018747712,6821.724529388384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.008837350018747747,778741.4193379742,0.8,0.008837350018747747,-0.05780435702592435
2019-02-26,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,18.4481180003903,70.34048411802263,47.927686621196834,39.16088306356891,53.33994708994709,53.33994708994709,53.33994708994709,18.06515390050624,8.533520897324015,46.66005291005291,0.8,0.8,0.0031152647975078995,9.265873015873017e-05,0.0,0.0,0.002510743584038066,1955.2200222275158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.002510743584038133,780696.6393602017,0.8,0.002510743584038133,-0.055438745360418595
2019-02-27,TQQQ_Full_35_20_45,RECOVERY_RETESTED,2,True,20.68296712184996,63.97851458209181,48.59382579837098,45.64953928969194,59.391534391534385,59.391534391534385,59.391534391534385,19.457876760389155,12.407680477697005,40.608465608465615,0.8,0.8,-0.0031055900621118626,9.186507936507937e-05,0.0,0.0,-0.002466099033816474,-1925.2752280299617,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.002466099033816449,778771.3641321717,0.8,-0.002466099033816449,-0.057768126957865706
2019-02-28,TQQQ_Full_35_20_45,RANGE_CARRY,2,False,19.387286741895384,60.641335239460766,47.37464247831448,50.31251781098289,64.61640211640211,64.61640211640211,64.61640211640211,16.2165046225868,9.827473535583104,35.383597883597886,0.35,0.8,-0.006230529595015577,9.186507936507937e-05,0.0,0.0,-0.004966050660139446,-3867.4180469462685,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.004966050660139443,774903.9460852254,0.8,-0.004966050660139443,-0.062447298172990995
2019-03-01,TQQQ_Full_35_20_45,RANGE_CARRY,0,False,15.92404329725642,61.9752635739977,46.85064405777508,48.49050955731274,64.58333333333333,64.58333333333333,64.58333333333333,16.02935117029132,9.566912671499535,35.41666666666667,0.35,0.35,0.01998432601880884,9.186507936507937e-05,0.45000000000000007,0.00022500000000000005,0.006829226408170395,5291.9944924006695,0.0,-466.9500000000003,0.0,0.0,466.9500000000003,0.0,5117.244108824142,0.0,0.0,0,0.0,0.0,0,0.0,155650.0,0.19962063983884182,0,0.0062266355937101725,779728.9905776262,0.35,0.0062266355937101725,-0.056609499148815856
