date,strategy_name,state,event_id,event_active,P,S,G,E,R_proxy,I,I_need,I_affordability,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,base_portfolio_return,base_pnl,covered_call_pnl,cash_secured_put_pnl,insurance_pnl,assigned_inventory_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,assigned_shares,assigned_market_value,assigned_weight,covered_call_contracts,covered_call_coverage,cash_secured_put_collateral,cash_secured_put_collateral_weight,insurance_contracts,portfolio_return,equity,effective_asset_weight,gross_return,drawdown
2024-11-11,QQQ_v0_3_Full,GREED_TREND,0,False,3.2645502645502833,76.8797619047619,67.59986772486776,29.12499999999996,18.6772486772487,27.007929894179888,8.902989417989417,81.3227513227513,0.35,0.35,-0.000583498657953041,0.00017837301587301588,0.0,0.0,-8.828206996610402e-05,-98.42671284349426,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-8.828206996613908e-05,1114813.2748510786,0.35,-8.828206996613908e-05,-8.828206996613908e-05
2024-11-12,QQQ_v0_3_Full,GREED_TREND,0,False,2.788359788359807,75.30066137566138,66.46494708994713,30.952380952380917,19.39153439153441,26.92572751322751,9.031481481481482,80.6084656084656,0.35,0.35,-0.001809901914993084,0.00017837301587301588,0.0,0.0,-0.0005175232099301191,-576.9417444736383,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0005175232099300375,1114236.333106605,0.35,-0.0005175232099300375,-0.0006057595918760317
2024-11-13,QQQ_v0_3_Full,GREED_TREND,0,False,3.216931216931236,71.83465608465609,65.25330687830692,36.624338624338584,19.497354497354518,27.337050264550257,9.615185185185183,80.50264550264548,0.35,0.35,-0.0012867754576825208,0.00017837301587301588,0.0,0.0,-0.0003344289498714219,-372.6328867894258,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.000334428949871457,1113863.7002198156,0.35,-0.000334428949871457,-0.0009399859582033265
2024-11-14,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,5.297619047619066,63.541666666666664,63.79365079365082,44.76719576719572,18.92195767195769,28.126177248677244,10.475555555555554,81.07804232804232,0.35,0.35,-0.0069497315763786816,0.0001771825396825397,0.0,0.0,-0.0023172374009388873,-2581.0866256975373,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0023172374009389207,1111282.613594118,0.35,-0.0023172374009389207,-0.0032550451885234866
2024-11-15,QQQ_v0_3_Full,RANGE_CARRY,0,False,9.357142857142877,53.429232804232804,56.23280423280428,55.27645502645498,19.927248677248695,33.60810846560846,18.11989417989418,80.0727513227513,0.35,0.35,-0.0238259057579272,0.0001775793650793651,0.0,0.0,-0.008223640427972932,-9138.788628056012,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.008223640427972856,1102143.824966062,0.35,-0.008223640427972856,-0.01145191729528916
2024-11-18,QQQ_v0_3_Full,RANGE_CARRY,0,False,11.561640211640233,49.08994708994709,49.16865079365083,61.74470899470896,21.99074074074076,37.343683862433856,23.788492063492065,78.00925925925924,0.35,0.35,0.0069476609541454515,0.0001771825396825397,0.0,0.0,0.002546849984744559,2806.994983801125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.002546849984744526,1104950.8199498632,0.35,0.002546849984744526,-0.008934233625933374
2024-11-19,QQQ_v0_3_Full,RANGE_CARRY,0,False,13.693915343915364,48.699074074074076,44.42592592592596,64.64087301587297,24.358465608465625,39.66236772486772,27.669312169312168,75.64153439153438,0.35,0.35,0.006879724811007515,0.00017837301587301588,0.0,0.0,0.0025238461441700905,2788.725866428042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0025238461441701165,1107739.5458162914,0.35,0.0025238461441701165,-0.0064329361128511175
2024-11-20,QQQ_v0_3_Full,RANGE_CARRY,0,False,14.254761904761926,50.90608465608466,45.393518518518555,64.14087301587297,27.328042328042347,39.081838624338616,27.885132275132275,72.67195767195766,0.35,0.35,-0.0005760139832359235,0.00017797619047619048,0.0,0.0,-8.592037032304937e-05,-95.17739199802227,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-8.59203703230671e-05,1107644.3684242934,0.35,-8.59203703230671e-05,-0.006518303762921063
2024-11-21,QQQ_v0_3_Full,RANGE_CARRY,0,False,14.900793650793672,51.916666666666664,45.625661375661416,60.99867724867721,29.404761904761923,36.67980158730158,25.37465608465609,70.59523809523807,0.35,0.35,0.003597193791362807,0.00017797619047619048,0.0,0.0,0.0013747023507865062,1522.681317108311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0013747023507864053,1109167.0497414016,0.35,0.0013747023507864053,-0.00515256213964066
2024-11-22,QQQ_v0_3_Full,RANGE_CARRY,0,False,10.444444444444466,57.91071428571428,46.35185185185188,54.056878306878275,27.453703703703724,27.006018518518516,11.825925925925928,72.54629629629628,0.35,0.35,0.001604023921739417,0.00017837301587301588,0.0,0.0,0.0006773508329262562,751.2952249966967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0006773508329263045,1109918.3449663983,0.35,0.0006773508329263045,-0.00447870139897133
