candidate_id,structure,target_dte,long_put_delta,short_put_delta,annual_budget_cap,single_entry_cap,actual_annual_debit_rate,maximum_single_year_debit_rate,cagr,cagr_change,sharpe,sharpe_change,max_drawdown,max_drawdown_improvement,first_half_mdd_improvement,second_half_mdd_improvement,insurance_net_pnl,insurance_net_entry_debit,insurance_pnl_during_panic,insurance_entries,2018_Q4_mdd_improvement,COVID_crash_recovery_mdd_improvement,2022_bear_mdd_improvement,average_stress_mdd_improvement,worst_stress_mdd_improvement,mdd_improvement_per_1pct_annual_debit
I004,protective_put,90,0.2,,0.008,0.008,0.007652375418729118,0.008463235107065235,0.10113935820529041,-0.0013513065562289484,0.7336705776984783,0.019181532944471558,-0.2489356343660306,-0.0004583032916281038,0.0016192004634543178,-0.0004583032916281038,-18840.038434971106,65658.97756137092,13999.342411465124,22,0.0016192004634542068,0.04143425629137176,-0.0004259656876960394,0.01420916368904331,-0.0004259656876960394,-0.0005989033032885589
I010,protective_put,90,0.3,,0.008,0.008,0.008103441337187788,0.008883678785450905,0.10258432457804645,9.365981652709188e-05,0.749314978824936,0.034825934070929265,-0.2434251290744046,0.005052201999997896,0.001606564332764182,0.005052201999997896,-7679.560051956803,69731.59897747693,10850.809878639338,19,0.001606564332763738,0.04825161916856091,0.005207603498452618,0.018355262333259088,0.001606564332763738,0.0062346375937993885
I023,protective_put,180,0.2,,0.01,0.01,0.008375568268012093,0.011192569631464613,0.0972798525406624,-0.005210812220856953,0.693543487140943,-0.020945557613063714,-0.2466421666343146,0.0018351644400879108,0.0012457940468905138,0.0018351644400879108,-42403.63328116742,66802.25058387266,-11477.196921192732,15,0.021193221863113343,0.00011389572998310449,0.0018730350959877962,0.007726717563028081,0.00011389572998310449,0.002191092450522739
I017,put_spread,90,0.25,0.1,0.01,0.01,0.008547929996652335,0.010495388308874521,0.1004619243661311,-0.002028740395388251,0.7195361867691915,0.005047142015184747,-0.24344918030416618,0.005028150770236328,0.007169421116053454,0.005028150770236328,-21412.200740726374,73069.8087573568,9719.935812645064,23,0.007487112227136272,0.01213513579819514,0.005075281484625993,0.008232509836652468,0.005075281484625993,0.0058823022324767825
I005,protective_put,90,0.2,,0.01,0.01,0.009272913676401408,0.01066234742862718,0.10206229522375465,-0.00042836953776470565,0.7514280240479211,0.03693897929391432,-0.2409598688655311,0.007517462208871395,0.006023542596374609,0.007517462208871395,-12875.414165388083,81349.51533872119,11610.752265891166,22,0.006210645984353835,0.04129488993091446,0.0077191851614337725,0.01840824035890069,0.006210645984353835,0.008106904120117657
I018,put_spread,90,0.25,0.1,0.012,0.012,0.009626808327848095,0.01229231429204169,0.10009446808689226,-0.0023961966746270935,0.7201339915619792,0.005644946807972451,-0.23937250654402586,0.009104824530376643,0.007169421116053454,0.009104824530376643,-23971.111499485913,84343.2574619928,364.5639382922236,22,0.007487112227136272,0.012152986312271574,0.009572561237189525,0.009737553258865791,0.007487112227136272,0.009457781042589706
I024,protective_put,180,0.2,,0.012,0.012,0.009679182313305586,0.0149017711420498,0.10153140818441253,-0.0009592565771068262,0.7519368346544881,0.037447789900481365,-0.21663836210252396,0.031838968971878545,0.0013295761683738139,0.031838968971878545,-11099.428075929845,80003.51341981479,14976.232632901543,14,0.021193221863113343,0.00019767785146651562,0.032143056302509465,0.017844652005696442,0.00019767785146651562,0.03289427550931733
I011,protective_put,90,0.3,,0.01,0.01,0.01006041023915909,0.011302295300363868,0.10130237271872966,-0.001188292042789696,0.7436200628720198,0.029131018118012997,-0.24077731864275476,0.007700012431647751,1.1102230246251565e-16,0.007700012431647751,-18369.73001320621,86676.94578099095,13182.771036444985,18,4.440892098500626e-16,0.04854409253893832,0.007905081875994369,0.018816391471644378,4.440892098500626e-16,0.00765377578905904
I006,protective_put,90,0.2,,0.012,0.012,0.010532898825465204,0.012459936094981335,0.1014572632596682,-0.001033401501851161,0.7504408659600158,0.03595182120600904,-0.24076393252000416,0.007713398554398343,0.008271409236598193,0.007713398554398343,-19102.5882093842,92525.97405065395,9750.406589926723,22,0.00880178444529034,0.041267112565111286,0.00795548630129539,0.019341461103899005,0.00795548630129539,0.007323148814217977
I012,protective_put,90,0.3,,0.012,0.012,0.011593494155460786,0.012698635741506642,0.09945310397744289,-0.003037560784076465,0.726995307139609,0.012506262385602263,-0.2500289403253332,-0.0015516092509306745,0.0017255983535466868,-0.0015516092509306745,-33107.757386012316,98526.82577637464,14570.105866095411,20,0.0017255983535462427,0.048624308994084986,-0.0015195547591635439,0.016276784196155896,-0.0015195547591635439,-0.0013383447907288873
