date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,candidate_id
2020-09-14,I015,QQQ,8,insurance,CLOSE,put,1,243.0,2020-12-18,2,275.16,7.036882109840683,6.860960057094665,7.2128041625867,6.860960057094665,0.35813598848891964,-0.22186696068982495,1372.1920114189331,-36.484410549203446,36.484410549203446,INSURANCE_PARTIAL_MONETIZATION,I015
2020-09-14,I015,QQQ,8,insurance,CLOSE,put,-1,210.0,2020-12-18,2,275.16,2.4103524291326544,2.350093618404338,2.4706112398609705,2.4706112398609705,0.4129527214208971,-0.0833366116781142,-494.1222479721941,-13.351762145663237,13.351762145663237,INSURANCE_PARTIAL_MONETIZATION,I015
2020-12-08,I015,QQQ,8,insurance,CLOSE,put,1,243.0,2020-12-18,3,308.29,4.895991613293026e-05,0.0,0.01004895991613293,0.0,0.3436487722598851,-1.27623529769448e-05,0.0,-1.9646879748398793,1.9646879748398793,INSURANCE_DTE_ROLL,I015
2020-12-08,I015,QQQ,8,insurance,CLOSE,put,-1,210.0,2020-12-18,3,308.29,2.3126644677296357e-09,0.0,0.010000002312664468,0.010000002312664468,0.38552363034804893,-7.396671245113014e-10,-3.0000006937993406,-4.95,4.95,INSURANCE_DTE_ROLL,I015
2021-02-03,I015,QQQ,9,insurance,OPEN,put,1,291.0,2021-05-21,7,326.38,10.580259694452579,10.315753202091264,10.844766186813894,10.844766186813894,0.36319832308469463,-0.24947684217159796,-7591.336330769726,-189.70454465292065,189.70454465292065,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2021-02-03,I015,QQQ,9,insurance,OPEN,put,-1,250.0,2021-05-21,7,326.38,3.9464639471154186,3.847802348437533,4.045125545793304,3.847802348437533,0.42206430508419046,-0.10100108330415294,2693.461643906273,-73.61311907451976,73.61311907451976,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2021-05-11,I015,QQQ,9,insurance,CLOSE,put,1,291.0,2021-05-21,7,325.31,0.11100813640022089,0.1010081364002209,0.12100813640022089,0.1010081364002209,0.3226753404444991,-0.017391238271428855,70.70569548015462,-11.549999999999997,11.549999999999997,INSURANCE_DTE_ROLL,I015
2021-05-11,I015,QQQ,9,insurance,CLOSE,put,-1,250.0,2021-05-21,7,325.31,4.332223190164214e-05,0.0,0.010043322231901642,0.010043322231901642,0.37534479419630506,-9.900189024662391e-06,-7.030325562331149,-11.55,11.55,INSURANCE_DTE_ROLL,I015
2021-05-19,I015,QQQ,10,insurance,OPEN,put,1,292.0,2021-08-20,1,322.59,8.611079479206467,8.395802492226306,8.826356466186628,8.826356466186628,0.32747627941782825,-0.24878607399426644,-882.6356466186628,-22.177698698016094,22.177698698016094,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2021-05-19,I015,QQQ,10,insurance,OPEN,put,-1,258.0,2021-08-20,1,322.59,3.1602600903179834,3.081253588060034,3.239266592575933,3.081253588060034,0.37280171601545153,-0.10115126155455413,308.12535880600336,-8.550650225794959,8.550650225794959,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
