date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2018-06-27,QQQ_v0_3_Full,QQQ,13,insurance,OPEN,put,1.0,157.0,2018-09-21,8,169.73,1.971429875916101,1.9221441290181986,2.0207156228140035,2.0207156228140035,0.20780691891516698,-0.19717178853316222,-1616.572498251203,-44.62859751832195,44.62859751832195,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2018-07-09,QQQ_v0_3_Full,QQQ,12,cash_secured_put,CLOSE,put,-1.0,167.0,2018-07-20,7,177.19,0.0905514812684114,0.0805514812684114,0.10055148126841139,0.10055148126841139,0.19454976296630738,-0.037399939632655345,-70.38603688788797,-11.549999999999997,11.549999999999997,CSP_PROFIT_TARGET,,
2018-09-11,QQQ_v0_3_Full,QQQ,13,insurance,CLOSE,put,1.0,157.0,2018-09-21,8,183.12,1.0680765163684474e-05,0.0,0.010010680765163685,0.0,0.21644872214941022,-7.64658227775616e-06,0.0,-5.2085446121309475,5.2085446121309475,INSURANCE_DTE_ROLL,,
2018-09-13,QQQ_v0_3_Full,QQQ,14,cash_secured_put,OPEN,put,-1.0,176.0,2018-10-19,6,184.53,1.0374808802711044,1.0115438582643268,1.063417902277882,1.0115438582643268,0.1763725770062207,-0.1818073322657199,606.9263149585961,-19.462213204066565,19.462213204066565,CONDITIONAL_ENTRY_CSP,,
2018-09-19,QQQ_v0_3_Full,QQQ,15,insurance,OPEN,put,1.0,170.0,2018-12-21,9,182.7,1.9373162990837685,1.8888833916066743,1.9857492065608626,1.9857492065608626,0.1858741740800687,-0.19487332123888124,-1787.1742859047763,-49.43961672938475,49.43961672938475,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2018-10-10,QQQ_v0_3_Full,QQQ,15,insurance,CLOSE,put,1.0,170.0,2018-12-21,2,171.73,5.698197498575425,5.555742561111039,5.840652436039811,5.555742561111039,0.22377746313930316,-0.42752346843927946,1111.1485122222077,-29.790987492877196,29.790987492877196,INSURANCE_PARTIAL_MONETIZATION,,
2018-10-18,QQQ_v0_3_Full,QQQ,15,insurance,CLOSE,put,1.0,170.0,2018-12-21,2,173.18,4.746667497250698,4.62800080981943,4.8653341846819655,4.62800080981943,0.2240098890964391,-0.39172269049791103,925.6001619638861,-25.033337486253526,25.033337486253526,INSURANCE_PARTIAL_MONETIZATION,,
2018-10-19,QQQ_v0_3_Full,QQQ,14,cash_secured_put,SETTLE,put,-1.0,176.0,2018-10-19,6,173.02,2.9799999999999898,2.9799999999999898,2.9799999999999898,2.9799999999999898,0.0,-1.0,-1787.9999999999939,-0.0,0.0,EXPIRY,,
2018-10-19,QQQ_v0_3_Full,QQQ,14,cash_secured_put,ASSIGN,put,-1.0,176.0,2018-10-19,6,173.02,,,,,,,0.0,0.0,0.0,CSP_ITM_EXPIRY,600.0,174.98845614173567
2018-11-08,QQQ_v0_3_Full,QQQ,14,assigned_inventory,SELL_ASSIGNED,,,,,6,174.46,,,,174.46,,,104676.0,-52.338,52.338,ASSIGNED_CAPACITY_EXIT,600.0,174.98845614173567
2018-12-11,QQQ_v0_3_Full,QQQ,15,insurance,CLOSE,put,1.0,170.0,2018-12-21,5,163.61,7.350532021120998,7.166768720592973,7.534295321649022,7.166768720592973,0.2969253689058051,-0.7720021837103896,3583.3843602964866,-95.1316502640123,95.1316502640123,INSURANCE_DTE_ROLL,,
2019-03-01,QQQ_v0_3_Full,QQQ,16,cash_secured_put,OPEN,put,-1.0,165.0,2019-04-18,7,174.39,1.3737112340821511,1.3393684532300973,1.408054014934205,1.3393684532300973,0.19321827614907475,-0.19584210930798593,937.557917261068,-28.589946596437645,28.589946596437645,CONDITIONAL_ENTRY_CSP,,
